,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.5200571491372679,0.5439924314096499,0.3712871287128713,0.4413457848279391,0.5326061580274158
Decision Tree,0.5214858775689636,0.5379023883696781,0.4459750322858373,0.4876441515650741,0.5334627634743283
Random Forest,0.5246730409935157,0.5514918190567853,0.36999569522169606,0.44287002447507406,0.5417117840236753
